question,answer,tech_accuracy,confidence
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",60,58
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",67,60
Explain the concept of REST APIs.,It's an API that lets you download data. ,22,42
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",80,77
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,36,21
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,92,100
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,42,42
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",81,76
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,28,15
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",60,53
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,23,31
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,33,61
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,34,24
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",57,56
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",61,44
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",82,84
Explain how a hash map works.,It's just an array that stores things inside it. ,23,58
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",58,44
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",58,30
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",94,84
Explain the concept of REST APIs.,It's an API that lets you download data. ,34,45
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",62,37
Explain the concept of REST APIs.,It's an API that lets you download data. ,30,44
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",51,69
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,40,35
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,97,82
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",59,73
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,38,8
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",94,80
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",89,80
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,89,91
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,22,43
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",80,95
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,10,53
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,30,25
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,25,50
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",64,75
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",51,64
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",74,41
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,34,20
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",90,81
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",89,95
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,38,51
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,31,55
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",66,11
What is normalization in a database?,It makes the database normal and easy to read. ,39,37
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,38,60
Explain how a hash map works.,It's just an array that stores things inside it. ,38,43
What is normalization in a database?,It makes the database normal and easy to read. ,23,34
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,37,28
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,97,79
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",92,86
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",64,47
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",90,75
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",95,94
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,40,53
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",93,73
What is normalization in a database?,It makes the database normal and easy to read. ,37,57
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,28,10
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,32,35
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,31,26
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,52,68
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",66,56
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,8,56
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,25,27
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,22,40
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,26,42
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",84,71
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,23,63
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",57,40
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,92,83
What is normalization in a database?,It makes the database normal and easy to read. ,18,47
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,27,32
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,16,41
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",83,87
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",48,25
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",77,51
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",85,89
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",89,77
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",74,68
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,95,64
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,18,26
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,89,74
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,35,59
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",90,82
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",67,71
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",51,67
Explain the concept of REST APIs.,It's an API that lets you download data. ,33,44
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",77,70
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",50,59
Explain how a hash map works.,It's just an array that stores things inside it. ,22,29
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,89,77
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",87,87
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,15,43
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",69,38
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,24,56
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",63,60
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",46,60
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,35,42
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",74,50
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",86,85
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,87,99
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",74,51
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",61,52
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",58,61
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",46,30
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,35,36
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",60,16
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",55,65
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,26,52
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",36,34
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,97,80
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,23,54
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",75,41
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",95,100
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",45,58
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",64,73
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",44,21
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",74,42
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",70,46
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",91,75
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",64,37
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",58,52
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,29,28
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",49,62
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,42,41
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,9,37
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",73,50
Explain how a hash map works.,It's just an array that stores things inside it. ,29,37
Explain how a hash map works.,It's just an array that stores things inside it. ,21,29
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,90,79
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",62,50
Explain the concept of REST APIs.,It's an API that lets you download data. ,29,31
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",53,47
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",68,69
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,36,22
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",52,53
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",74,16
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",71,61
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",74,60
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,91,87
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",65,56
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",59,31
What is normalization in a database?,It makes the database normal and easy to read. ,33,21
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",60,63
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",58,33
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,39,23
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,31,17
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",68,30
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",65,59
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,25,39
What is normalization in a database?,It makes the database normal and easy to read. ,34,56
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,36,35
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,37,48
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,93,91
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",84,82
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,33,61
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",66,69
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,88,85
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",62,65
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",88,100
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",92,71
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,45,60
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,41,48
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,29,30
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",62,59
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",76,55
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",46,83
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",97,93
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",65,54
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",48,45
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,31,51
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",51,47
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,18,49
What is normalization in a database?,It makes the database normal and easy to read. ,21,54
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,32,52
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",54,47
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,23,37
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,81,82
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",81,80
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",49,38
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,16,24
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,90,87
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,43,44
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",52,65
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",89,95
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,21,19
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",62,50
Explain how a hash map works.,It's just an array that stores things inside it. ,45,45
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,98,84
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",55,65
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,22,65
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,32,21
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",57,65
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",74,32
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,86,79
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,45,70
Explain how a hash map works.,It's just an array that stores things inside it. ,42,26
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,31,14
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,93,98
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,22,26
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",59,36
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,20,29
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,7,8
Explain how a hash map works.,It's just an array that stores things inside it. ,2,32
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,24,60
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",83,91
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",55,54
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,95,82
Explain how a hash map works.,It's just an array that stores things inside it. ,14,35
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,32,47
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,30,30
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",93,100
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",55,73
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",89,84
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",96,100
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",96,100
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,27,49
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,94,99
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",53,46
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,39,33
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,84,87
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",43,50
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,24,26
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,20,66
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,41,23
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",61,51
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",62,75
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",67,25
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",81,72
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",68,68
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",99,93
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",66,51
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,22,36
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,97,91
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",56,57
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,14,45
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,24,33
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,82,82
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",93,88
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",83,71
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",44,7
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",91,74
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",41,44
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",90,89
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",58,56
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",60,56
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,97,85
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",47,60
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",64,56
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",75,44
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",50,39
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",55,41
What is normalization in a database?,It makes the database normal and easy to read. ,30,16
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",91,82
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,18,25
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",48,18
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",56,46
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,29,58
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",41,61
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",65,62
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",52,40
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,22,52
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,46,56
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",50,40
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",52,34
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",81,100
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,19,59
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",84,88
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",88,79
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,28,39
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",84,76
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",63,48
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",84,94
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",64,57
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",56,46
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",94,81
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",63,57
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",66,14
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",93,92
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",51,69
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",56,52
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",70,41
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",65,45
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",68,55
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",84,81
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",48,63
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",94,100
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",43,19
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",71,53
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",53,44
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,13,42
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,41,49
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",52,50
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,19,34
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",58,56
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",67,31
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",51,68
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",50,46
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",84,100
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,40,21
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",98,100
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,91,88
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,49,43
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",68,42
Explain the concept of REST APIs.,It's an API that lets you download data. ,38,27
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,42,66
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",66,79
